Price,Close,High,Low,Open,Volume
Ticker,^NYA,^NYA,^NYA,^NYA,^NYA
Date,,,,,
2018-11-07,12679.099609375,12682.0595703125,12536.1201171875,12582.5703125,3929080000
2018-11-08,12622.0400390625,12675.5703125,12580.2998046875,12644.580078125,3673550000
2018-11-09,12537.5302734375,12569.25,12474.8798828125,12566.330078125,4029030000
2018-11-12,12343.509765625,12523.009765625,12330.7998046875,12517.73046875,3701570000
2018-11-13,12328.2998046875,12446.240234375,12301.26953125,12365.259765625,4112820000
2018-11-14,12275.490234375,12435.650390625,12202.419921875,12398.9296875,4449060000
2018-11-15,12361.51953125,12379.1298828125,12147.669921875,12194.6904296875,4204960000
2018-11-16,12400.2802734375,12433.7197265625,12308.6103515625,12329.4296875,3996970000
2018-11-19,12280.91015625,12407.8203125,12234.240234375,12388.1103515625,3806940000
2018-11-20,12048.66015625,12161.3203125,12016.080078125,12150.2001953125,4370820000
2018-11-21,12123.33984375,12202.6298828125,12108.7197265625,12108.7197265625,3237400000
2018-11-23,12036.240234375,12087.169921875,12016.759765625,12034.6796875,1651680000
2018-11-26,12181.599609375,12199.580078125,12111.2001953125,12111.2001953125,3523520000
2018-11-27,12188.0703125,12190.41015625,12111.7099609375,12137.8798828125,3494380000
2018-11-28,12417.6298828125,12418.48046875,12174.4501953125,12225.73046875,3984540000
2018-11-29,12389.3701171875,12453.6201171875,12336.419921875,12384.98046875,3599200000
2018-11-30,12457.5498046875,12464.41015625,12358.8603515625,12373.0,4668310000
2018-12-03,12577.5400390625,12624.75,12500.3603515625,12609.7001953125,4221580000
2018-12-04,12221.98046875,12566.169921875,12212.51953125,12555.01953125,4515710000
2018-12-06,12144.41015625,12144.5,11852.830078125,12032.490234375,5180430000
2018-12-07,11941.9296875,12228.91015625,11897.76953125,12156.830078125,4242240000
2018-12-10,11889.2900390625,11939.0400390625,11696.580078125,11922.7197265625,4162880000
2018-12-11,11860.650390625,12044.0,11805.7197265625,11982.7802734375,3963440000
2018-12-12,11943.2900390625,12074.91015625,11941.8203125,12008.58984375,4029300000
2018-12-13,11936.16015625,12011.400390625,11892.7802734375,11985.7802734375,3978340000
2018-12-14,11755.3798828125,11882.3603515625,11730.83984375,11845.3603515625,4064370000
2018-12-17,11532.1201171875,11752.740234375,11480.080078125,11712.8095703125,4661420000
2018-12-18,11502.16015625,11648.0498046875,11449.75,11601.009765625,4519190000
2018-12-19,11371.83984375,11677.5,11313.0302734375,11540.1796875,5152830000
2018-12-20,11222.7900390625,11394.7197265625,11127.3095703125,11342.9404296875,5619780000
2018-12-21,11036.83984375,11364.1396484375,11013.419921875,11198.8896484375,7657890000
2018-12-24,10769.830078125,10995.900390625,10769.8095703125,10976.23046875,2613670000
2018-12-26,11204.08984375,11204.4599609375,10724.1904296875,10801.4697265625,4249740000
2018-12-27,11285.3095703125,11285.3203125,10934.1103515625,11081.8701171875,4139010000
2018-12-28,11290.9501953125,11416.51953125,11252.23046875,11343.8603515625,3728440000
2018-12-31,11374.3896484375,11378.1904296875,11270.6298828125,11338.240234375,3461920000
2019-01-02,11383.5302734375,11407.7998046875,11204.2802734375,11238.76953125,3733160000
2019-01-03,11190.4404296875,11343.7900390625,11169.4599609375,11343.7900390625,3858830000
2019-01-04,11533.33984375,11559.01953125,11323.73046875,11323.73046875,4234140000
2019-01-07,11605.9599609375,11678.9697265625,11504.76953125,11536.0498046875,4133120000
2019-01-08,11716.23046875,11727.75,11621.150390625,11702.5,4120060000
2019-01-09,11778.419921875,11811.6796875,11712.3701171875,11758.0302734375,4088740000
2019-01-10,11839.3095703125,11843.599609375,11701.8095703125,11731.5498046875,3721300000
2019-01-11,11848.009765625,11851.5498046875,11762.490234375,11806.75,3447460000
2019-01-14,11799.1103515625,11827.6396484375,11745.5703125,11767.5302734375,3689370000
2019-01-15,11868.6796875,11877.419921875,11798.0302734375,11798.0302734375,3601180000
2019-01-16,11907.6103515625,11944.2001953125,11882.91015625,11884.9697265625,3882180000
2019-01-17,11994.5400390625,12033.580078125,11862.4296875,11873.8203125,3802410000
2019-01-18,12151.76953125,12164.7001953125,12060.3603515625,12070.900390625,4009010000
2019-01-22,11999.3701171875,12075.400390625,11940.91015625,12075.400390625,3923950000
2019-01-23,12020.9296875,12075.0498046875,11926.8095703125,12044.5498046875,3358770000
2019-01-24,12029.4501953125,12048.1298828125,11969.0400390625,12006.1904296875,3449230000
